俗名	拉丁名	基因组大小M	单位或作者	文章标题	期刊名称	文章DOI	PUBMED号	发表年份	开始年份	分类	分组
(Thale cress)	Arabidopsis thaliana	125	Arabidopsis Genome Initiative	Analysis of the genome sequence of the flowering plant Arabidopsis thaliana.	Nature. 2000 Dec 14 408(6814):796-815.	10.1038/35048692	11130711	2000	2000/12/14	rosid	1
(Haller's rockcress)	Arabidopsis halleri	250	Akama S et al.	Genome-wide quantification of homeolog expression ratio revealed nonstochastic gene regulation in synthetic allopolyploid Arabidopsis.	"Nucleic Acids Res. 2014 Apr, 42(6): e46, Epub 2014 Jan 13."	10.1093/nar/gkt1376	NA	2014	2014/1/13	rosid	1
(Snow whitlowgrass)	Draba nivalis	280	Nowak MD et al.	The genome of Draba nivalis shows signatures of adaptation to the extreme environmental stresses of the Arctic.	 Mol Ecol Resour. 2020 Oct 15. Online ahead of print.	10.1111/1755-0998.13280	NA	2020	2020/10/15	rosid	1
 	Microthlaspi erraticum	170	Mishra B et al.	The Genome of Microthlaspi erraticum (Brassicaceae) Provides Insights Into the Adaptation to Highly Calcareous Soils.	Front Plant Sci. 03 July 2020	10.3389/fpls.2020.00943	NA	2020	2020/7/3	rosid	1
 	Isatis indigotica	300	Kang M et al.	"A chromosome-scale genome assembly of Isatis indigotica, an important medicinal plant used in traditional Chinese medicine: An Isatis genome."	"Hortic Res. 2020 Feb 1, 7: 18"	10.1038/s41438-020-0240-5	NA	2020	2020/2/1	rosid	1
 	Pachycladon cheesemanii	596	Dong Y et al.	Genome draft of the Arabidopsis relative Pachycladon cheesemanii reveals novel strategies to tolerate New Zealand__ high ultraviolet B radiation environment	"BMC Genomics. 2019 Nov 12, 20: 838"	10.1186/s12864-019-6084-4	NA	2019	2019/11/12	rosid	1
(Moutan peony)	Paeonia suffruticosa	13800	Lv S et al.	Draft genome of the famous ornamental plant Paeonia suffruticosa.	"Ecol Evol. 2020, 00: 1-13"	10.1002/ece3.5965	NA	2020	2020/5/12	rosid	1
Pistachio	Pistacia vera	520	Zeng L et al.	Whole genomes and transcriptomes reveal adaptation and domestication of pistachio.	"Genome Biol. 2019 Apr 18, 20(1):79"	10.1186/s13059-019-1686-3	NA	2019	2019/4/18	rosid	1
 	Megadenia pygmaea	240	Yang W et al.	The chromosome-level genome sequence and karyotypic evolution of Megadenia pygmaea (Brassicaceae).	Mol Ecol Resour. 2020 Nov 5. Online ahead of print.	10.1111/1755-0998.13291	NA	2020	2020/11/5	rosid	1
 	Megacarpaea delavayi	900	Yang Q et al.	The Genome Sequence of Alpine Megacarpaea delavayi Identifies Species-Specific Whole-Genome Duplication.	Front Genet. 11: 812 (Aug 2020)	10.3389/fgene.2020.00812	NA	2020	2020/8/3	rosid	1
(Thunder god vine)	Tripterygium wilfordii	366	Tu L et al.	Genome of Tripterygium wilfordii and identification of cytochrome P450 involved in triptolide biosynthesis.	"Nat Commun. 2020 Feb 20, 11(1): 971"	10.1038/s41467-020-14776-1	NA	2020	2020/2/20	rosid	1
 	Phtheirospermum japonicum	~1200	Cui S et al.	Ethylene signaling mediates host invasion by parasitic plants. 	"Sci Adv. 2020 Oct 28, 6(44): eabc2385. Print 2020 Oct."	10.1126/sciadv.abc2385	NA	2020	2020/10/28	asterid	1
(Asiatic witchweed)	Striga asiatica	600	Yoshida S et al.	Genome Sequence of Striga asiatica Provides Insight into the Evolution of Plant Parasitism.	"Curr Biol. 2019 Sep 10, Epub ahead of print"	10.1016/j.cub.2019.07.086	NA	2019	2019/9/10	asterid	1
(Common milkweed)	Asclepias syriaca	420	Weitemier K et al.	"A draft genome and transcriptome of common milkweed (Asclepias syriaca) as resources for evolutionary, ecological, and molecular studies in milkweeds and Apocynaceae."	PeerJ 7: e7649	10.7717/peerj.7649	NA	2019	2019/9/20	asterid	1
(Himalayan rock-cress)	Crucihimalaya himalaica	265	Zhang T et al.	"Genome of Crucihimalaya himalaica, a close relative of Arabidopsis, shows ecological adaptation to high altitude."	"Proc Natl Acad Sci U S A. 2019 Mar 20, Epub ahead of print"	10.1073/pnas.1817580116	30894495	2019	2019/3/20	rosid	1
(Reflexed rockcress)	Boechera retrofracta	227	Kliver S et al.	Assembly of the Boechera retrofracta Genome and Evolutionary Analysis of Apomixis-Associated Genes.	"Genes (Basel). 2018 Mar 28, 9(4)"	10.3390/genes9040185	29597328	2018	2018/3/28	rosid	1
(Rocket)	Eruca sativa	560	Bell L et al.	The Eruca sativa Genome and Transcriptome: A Targeted Analysis of Sulfur Metabolism and Glucosinolate Biosynthesis Pre and Postharvest.	Front Plant Sci. 11: 525102	10.3389/fpls.2020.525102	NA	2020	2020/10/27	rosid	1
(Australian pitcher plant)	Cephalotus follicularis	2110	Fukushima K et al.	Genome of the pitcher plant Cephalotus reveals genetic changes associated with carnivory	"Nat Ecol Evol. 2017 Feb 6, 1(3):59"	10.1038/s41559-016-0059	28812732	2017	2017/2/6	rosid	1
(Star fruit)	Averrhoa carambola	475	Fan Y et al.	Dissecting the genome of star fruit (Averrhoa carambola L.).	"Hortic Res. 7, 94 (2020), epub ahead of print"	10.1038/s41438-020-0306-4	NA	2020	2020/6/1	rosid	1
(Hairy bittercress)	Cardamine hirsuta	225	Gan X et al.	The Cardamine hirsuta genome offers insight into the evolution of morphological diversity.	Nat Plants. 2016 Oct 31 2(11):16167.	10.1038/nplants.2016.167	27797353	2016	2016/10/31	rosid	1
(Mignonette-leaved bittercress)	Cardamine resedifolia	~300	Rellstab C et al.	Genomic signatures of convergent adaptation to Alpine environments in three Brassicaceae species.	"Mol Ecol. 2020 Sep 24, Online ahead of print."	10.1111/mec.15648	NA	2020	2020/9/24	rosid	1
